标题	年份	类型	国家	时长	评分	人数	概括	链接
海盗电台 The Boat That Rocked	2009	剧情/喜剧/爱情/音乐	英国 / 德国 / 法国 / 法国	116	8.7	132892	　　1966年英国，北海上飘扬着一条游艇，这里有一群充满了摇滚梦想的年轻人，在24小时不间断播着自己喜欢的音乐，他们叫做海盗电台。全英国的年轻人，无论种族、信仰，都热衷于海盗电台的音乐。被学校开除的卡尔（汤姆•斯图里奇 Tom Sturridge 饰）被海盗电台的首领昆汀（比尔•奈伊 Bill Nighy 饰）引荐入伙。通过游戏，他逐渐认识这些激情四射的DJ，其中，头牌DJ大胡子科特（菲利普•塞默•霍夫曼 Philip Seymour Hoffman 饰）是个善于拿音乐说事的美国佬；戴夫虽然大腹便便却颇讨女孩喜欢……羞涩的卡尔似乎总是难以融入，对于喜欢的女孩也手足无措。2年前离开的DJ加文（瑞斯•伊凡斯 Rhys Ifans 饰）突然回归让科特面临危机，而西蒙则发现与妻子艾兰诺的婚姻另有隐情。与此同时，政府高官与国家电台却开始注意到这些无政府主义的小团伙...	http://movie.douban.com/subject/3007773/	
爱在日落黄昏时 Before Sunset	2004	剧情/爱情	美国	80	8.7	135930	　　九年前，杰西（伊桑·霍克 Ethan Hawke 饰）与席琳（朱莉·德尔佩 Julie Delpy 饰）在火车上不期而遇，怦然心动。在维也纳渡过疯狂而又浪漫的一夜后，他们在日出前分手，并相约在维也纳重逢。　　九年之后，杰西已成为畅销书作家，而席琳则是法国环保组织成员。杰西在新书里娓娓道来的，正是九年前的浪漫夜晚。在巴黎促销新书时，杰西与席琳在书店相遇，然而他们只有一下午的时光相处，日落之前，杰西要乘飞机赶回美国。两人在午后的巴黎街头散步，在美丽的护城河上泛舟，无所不谈，兴致勃勃。可是就像命运的捉弄，快乐的时光像烟花一样醉人却短暂。　　杰西对席琳一送再送，难以忘情；席琳用吉他和歌声，怀念着内心深处的爱恋。太阳就快落下去了，杰西就要误了飞机，又或许他更不想错过的，是命里注定的缘分。	http://movie.douban.com/subject/1291990/	
魂断蓝桥 Waterloo Bridge	1940	剧情/爱情/战争	美国	108	8.8	97739	　　第一次世界大战期间，回国度假的陆军中尉罗伊（罗伯特·泰勒）在滑铁卢桥上邂逅了舞蹈演员玛拉（费雯·丽），两人彼此倾心，爱情迅速升温。就在两人决定结婚之时，罗伊应招回营地，两人被迫分离。由于错过剧团演出，玛拉被开除，只能和好友相依为命。　　不久玛拉得知罗伊阵亡的消息，几欲崩溃，备受打击。失去爱情的玛拉感到一切都失去了意义，为了生存，她和好友不得不沦为妓女。然而命运弄人，就在此时玛拉竟然再次遇到了罗伊。虽然为罗伊的生还兴奋不已，玛拉却因自己的失身陷入痛苦之中。　　感到一切难以挽回的玛拉潸然离开，独自来到两人最初相遇的地点——滑铁卢桥上…	http://movie.douban.com/subject/1293964/	
燕尾蝶 スワロウテイル	1996	剧情/犯罪	日本	146	8.7	84066	　　母亲死后，原本生活在被大量外国移民视为淘金天堂的“元都”少女被送到妓女固力果（卓娜）处，将少女暂时收留后，固力果依据纹在胸前的蝴蝶给她取名凤蝶（伊藤步）。不久，凤蝶在固力果的带领下于名为“青空”的废品安置区兼汽车修理站，结识了火飞鸿、狼朗等来自不同国家的“元盗”，并逐渐与他们熟识成为好友。　　一盘录有美国歌曲《My Way》并隐藏有制造伪钞磁性感应资料的磁带令众人一夜致富，而在发财后，他们也开始走上不同道路，其中有出色演唱天赋的固力果被唱片公司签下，并在公司逼迫下与大伙断了关系。而磁带的主人，黑社会老大刘梁魁（江口洋介）得知磁带下落后，开始派手下追杀火飞鸿、固力果等人，众人的命运开始相互牵制。	http://movie.douban.com/subject/1307793/	
教父3 The Godfather: Part III	1990	剧情/悬疑/惊悚/犯罪	美国	162	8.7	85710	　　转眼间已经是1979年，第二代教父麦克•柯里昂（阿尔•帕西诺 饰）到了垂暮之年，为了灵魂的救赎，麦克慢慢结束家族的黑道事业，转投正当生意。　　麦克的儿子托尼酷爱艺术，无意接手家族事业，迈克尔决定让大哥逊尼的私生子，火爆好色的文森（安迪•加西亚 饰）继承家业，当第三代教父。麦克的爱女玛丽（索菲娅•科波拉 饰）和文森相恋，遭到父亲的反对，父女渐渐疏远。　　为了使家族资产合法化，麦克通过在梵蒂冈教廷的关系网，准备投资“屹立”集团，却遭到敌人的暗中阻挠，教皇的去世也让事情更加扑朔迷离。　　麦克无奈之下，只能重新选择用暴力解决问题，他的亲人也被卷入了这场血雨腥风。	http://movie.douban.com/subject/1294240/	
罗生门 羅生門	1950	剧情/悬疑/犯罪	日本	88	8.7	77361	　　罗生门，日本京都的正南门。云游和尚、砍柴人和乞丐在城门底下避雨，三人闲聊，话题开始，故事的序幕拉开：一个武士和他妻子路过荒山，遭遇了不测。妻子被侮辱，而武士惨遭杀害。惨案如何酿成？凶手、妻子、借武士亡魂来做证的女巫，都各有说法。　　真相只得一个，但是各人提供证词的目的却各有不同。为了美化自己的道德，减轻自己的罪恶，掩饰自己的过失，人人都开始叙述一个美化自己的故事版本。荒山上的惨案，成了一团拨不开看不清的迷雾。　　谈论完毕，雨过天晴。砍柴人在罗生门旁发现一个哭泣的弃婴。他决定收养下来，抱着婴孩往夕阳深处走去。	http://movie.douban.com/subject/1291879/	
饮食男女 飲食男女	1994	剧情/爱情/家庭	台湾 / 美国	124	8.9	103033	　　台湾中国菜硕果仅存的大师老朱（郎雄）退休后，渐尝老年生活的诸多尴尬：每周日费心做出的一桌丰盛菜肴，并无将三个女儿（杨贵媚、吴倩莲、王渝文）齐齐拉到饭桌的吸引力，已经长大成人的她们，心里藏了许多比陪父亲吃饭更重要的事；多年老友的突然离世，令他在友情这块也有了缺口；而对厨师来讲最重要的味觉的丧失，则将其彻底推到人生的低谷。　　三个女儿虽各忙各事，却也操心着老朱的晚年生活，计划着为其找个老伴，但她们没料到老朱早已悄无声息地谈起了“黄昏恋”。吃惊过后，老朱最看重的继承了他做菜天赋的二女儿家倩因为自身的生活经历，对父亲、她与父亲的关系有了新的认识，而对老朱来讲更大的惊喜，还在后面。	http://movie.douban.com/subject/1291818/	
巴黎淘气帮 Le petit Nicolas	2009	喜剧/家庭/儿童	法国 / 比利时	92	8.6	85068	　　小尼古拉（马克西姆·戈达尔 Maxime Godart 饰）深受父母宠爱，在学校也与一帮朋友玩得开心，这其中包括：想当大官的亚斯特Alceste（Vincent Claude 饰）、以后会继承父业的杰夫Geoffroy（Charles Vaillant 饰）、梦想成为自行车冠军在班上却总是被罚站的克劳岱Clotaire（Victor Carles 饰）、长大要当黑道的奥德Eudes（Benjamin Averty 饰）、希望跟老爸一样成为警察的鲁夫Rufus（Germain Petit Damico 饰）以及全班第一名永远不会被罚站也是老师（Sandrine Kiberlain 饰）的最爱学生同时是其他同学眼中讨厌的大蟑螂的阿南Agnan（Damien Ferdel 饰）。　　有一天，尼古拉的妈妈（瓦莱丽·勒梅西埃 Valérie Lemercier ...	http://movie.douban.com/subject/3157605/	
牯岭街少年杀人事件 牯嶺街少年殺人事件	1991	剧情/爱情/家庭/儿童/犯罪	台湾	237	8.6	56330	　　结识小明（杨静怡）前，小四（张震）是典型的乖仔，是父母的希望和兄妹的骄傲（一家人指望他考上名牌大学将来提升全家的社会地位），他有一个喜欢摇滚乐的自称“小猫王（王启赞）”的好友，两人虽会去树林看人幽会，但过的是与周围诸多在“小公园”混的少年人完全两样的生活。　　喜欢上小明后，小四便像跌进一个无底深渊，开始被外界的各种力量牵着鼻子走。新识仰慕对象honey（林鸿铭）猝死，一向敬重的父亲的自尊与精神因为某次事件严重受损，加上将一次次“欺骗玩弄”他感情的小明“看透”，血气方刚又有很强道德感的小四终于走上犯罪的道路，期望用自己的刀结束事件的根源。但小四不知的是，他眼中的根源只是这条食物链中微不足道的一环。	http://movie.douban.com/subject/1292329/	
上帝也疯狂 The Gods Must Be Crazy	1980	喜剧	博茨瓦纳 / 南非	109	8.6	69674	　　广袤无垠的非洲大陆，现代文明与原始社会和谐共存。在离现代大都市六千公里的卡拉哈里沙漠腹地，生活着仍未受到外来文明影响的布须曼人。他们刀耕火种，狩猎农作，过着与世无争、敬畏自然的平静生活。某天，一支来自现代文明的可乐瓶打乱了他们一成不变的日子。最先发现瓶子的基（N!xau 饰）将其带回部落，族人惊叹可乐瓶子的完美构造和繁多的用途，认为这是上帝赐予他们的礼物。可是兴奋的心情很快为别样的情绪所取代，习惯了平等共有的族人开始想要将瓶子据为己有，矛盾悄然而生。基不愿看到族人发生争吵与殴斗，于是决定将可乐瓶还给上帝，只为恢复曾经平静快乐的生活……	http://movie.douban.com/subject/1297478/	
中央车站 Central do Brasil	1998	剧情	巴西 / 法国	113	8.7	60256	　　里约热内卢的中央车站，朵拉（费尔南达-蒙特内格罗Fernanda Montenegro饰）在这里帮人写信。但她会把看不顺眼的信统统撕掉不寄，甚至公开读信里的内容取乐。朵拉生活拮据，年纪不小却还未嫁，或许在她内心，人与人之间的真情根本就不值得信赖。　　小男孩约书亚（文尼西斯•狄•奥利维拉Vinícius de Oliveira 饰）的出现令她开始了一段重新认识人生的旅程——约书亚很想见到远方素未谋面的父亲，不断写信给他。男孩母亲意外的车祸让朵拉决定陪伴约书亚前往东北部寻找父亲。在约书亚眼中，即使父亲很陌生，却总是骄傲地谈起父亲。而朵拉，也同样有着一段和父亲的痛苦往事。在约书亚寻父的过程中，朵拉因为往事而冰冻的内心慢慢回暖。	http://movie.douban.com/subject/1292218/	
卢旺达饭店 Hotel Rwanda	2004	剧情/历史/战争	英国 / 南非 / 意大利 / 美国	121	8.8	77973	　　影片来源于一个真实的故事。保罗•卢斯赛伯吉纳(唐•钱德尔 Don Cheadle  饰)在乱世中开了一家饭店，这家饭店在杀戮如麻的世界中，就像一个绿洲供人休憩，救人性命。事件源于两国元首的罹难：他们分别是胡图族和图西族的首领，同乘一班机，却被意外击落。这样一来，两族人之间的猜忌和争斗开始了，胡图族人开始疯狂杀戮图西族人。　　而保罗是一个胡图族人，他有着图西族的妻子和朋友，为了挽救身边的人，挽救一个民族，他在越来越严重的局势中，奋力救活1000个难民性命，卢旺达饭店上演了一幕幕感人至深的故事。	http://movie.douban.com/subject/1291822/	
莫扎特传 Amadeus	1984	剧情/音乐/传记	美国	160	8.6	51576	　　本片从一个宫廷乐师萨里埃利的角度，为我们呈现了天才莫扎特的一生。萨里埃利（F·莫里·亚伯拉罕 F. Murray Abraham饰）是维也纳音乐界里有名的人物，自视甚高的他自从遇到了莫扎特（汤姆·休斯克 Tom Hulce饰），心里的妒嫉之火便熊熊燃烧不能平息。莫扎特总能以他超乎常人的音乐作品赢得全场惊叹，他的《费加罗的婚礼》等歌剧，都成了传颂千古的经典。　　萨里埃利对莫扎特又羡慕又嫉恨的心理已经发展到几乎扭曲的地步。他在莫扎特的事业上一次次的从中作梗——故意缩短歌剧的上演周期，恶意删改莫扎特的作品，在莫扎特承受着丧父之痛时给他无情的精神折磨。贫穷虚弱的莫扎特在生命最后的几年里，写就遗作《安魂曲》，一代大师35岁就与世长辞，留下不朽作品。而萨里埃利，早有等待他的宿命般的结局。	http://movie.douban.com/subject/1293399/	
再见列宁 Good Bye Lenin!	2003	剧情/喜剧/爱情/家庭	德国	121	8.7	46630	　　克里斯蒂娜（凯萨琳•萨斯 Kathrin Sass 饰）衷心拥护着社会主义东德，她的丈夫已经逃往西德，剩下她一人抚养儿子阿历克斯（丹尼尔•布鲁赫 Daniel Brühl 饰）。1989年，阿历克斯上街游行被捕，母亲目睹了这一幕，心脏病发晕倒过去，不省人事了好一段时间。当她醒来，她熟悉的国家已经改变——柏林墙推倒，民主德国的社会主义也随之瓦解。　　医生说，克里斯蒂娜不能再受刺激了。于是儿子想方设法营造一个过往的世界给母亲。母亲因此得以活在过去的民主德国里：包括邻居的衣饰，电视的新闻，换成苏联食品的罐头。然而，阿历克斯用心良苦不可能掩饰庞大的现实世界。终于，儿子以自己的方式去和母亲讲述东德的变迁。	http://movie.douban.com/subject/1292055/	
天伦之旅 Everybody&#39;s Fine	2009	剧情/家庭	美国	99	8.7	49560	　　年迈的弗兰克（罗伯特·德尼罗 Rovert De Niro 饰）曾是给电线涂保护层的工人，他的工作保护了电线不受外界的侵蚀。对于自己的四个孩子，弗兰克同样是百般呵护，可是在妻子去世的8个月时间里，他发觉自己和孩子们的距离越来越远。弗兰克不顾医生的告戒，独自踏上了拜访四个孩子的旅程。然而，在弗兰克的心目中应该成为画家的小儿子不知所踪，大女儿Amy（凯特·贝金赛尔 Kate Beckinsale 饰）的婚姻生活似乎并没有表面上那样幸福，本以为会是乐队指挥的儿子Robert（山姆·洛克威尔 Sam Rockwell 饰）其实只是个鼓手，而从小就喜欢跳舞的女儿Rosie（德鲁·巴里摩尔 Drew Barrymore 饰）似乎同样对父亲有所隐瞒。就这样，老弗兰克带着满腹的猜疑踏上归途。途中由于心脏病弗兰克住进医院，孩子们终于齐聚弗兰克的医床前，可是小儿子却依旧...	http://movie.douban.com/subject/3041749/	
穿条纹睡衣的男孩 The Boy in the Striped Pajamas	2008	剧情	英国 / 匈牙利	94	8.8	79217	　　八岁男孩布鲁诺（Asa Butterfield 饰）一家随着纳粹军官父亲的一纸调令，由柏林搬迁到了乡下。失去了朋友们的布鲁诺很快对新家附近的“农庄”产生了兴趣，那里有一群身穿“条纹睡衣”的人终日忙碌，并且其中一个为布鲁诺一家服务，他形容肮脏，态度慎微。周遭环境和布鲁诺的举止让母亲暗暗担忧，但纳粹父亲制止家中任何怀疑既定政策的行为。　　布鲁诺偷偷结识了铁丝网另一边的同龄男孩施穆尔，并时常带给他食物吃。在紧张的家庭氛围和姐姐向成人世界的变化中，施穆尔是布鲁诺惟一的朋友。某日布鲁诺决定，去铁丝网的另一边，以便见到施穆尔的父亲……　　本片根据约翰·伯恩的同名小说改编，获2008年芝加哥国际电影节观众票选奖。	http://movie.douban.com/subject/3008247/	
布达佩斯之恋 Gloomy Sunday - Ein Lied von Liebe und Tod	1999	剧情/爱情	德国 / 匈牙利	112	8.6	50374	　　人们总是难以抗拒《忧郁星期天》的悲伤情调，原来这首歌与一段复杂凄美的爱情故事有关。上世纪30年代的匈牙利首都布达佩斯的一个餐馆里，美丽的伊洛娜（艾丽卡·莫露珊 Erika Marozsán 饰）同时被两个男人深爱着。一个是餐厅老板，另一个是钢琴师。三个人都并不愿意改变现况，打破平衡，伊洛娜同时拥有两个男人的爱而深感平静幸福。钢琴师为她创作出《忧郁星期天》，他和餐厅也因此一举成名。　　然而，汉斯的出现彻底毁灭了这一切。他曾经是一个无名小子，深深迷上《忧郁星期天》 的同时，更是成为伊洛娜的裙下之臣。汉斯向伊洛娜求婚，却被拒绝，满腔恨意的他如今成了军官，风光无限，正带着他蓄谋已久的复仇计划来到伊洛娜身边，给他们的生活以致命一击。爱、复仇与战争的故事，在布达佩斯纠结上演。	http://movie.douban.com/subject/1301106/	
蓝白红三部曲之红 Trois couleurs: Rouge	1994	剧情/爱情/悬疑	法国 / 波兰 / 瑞士	99	8.7	44904	　　女学生瓦伦丁（伊莲娜·雅各布 Irène Jacob饰）是个兼职模特，男朋友远在英国。尽管她非常珍惜这段感情，却无法阻止男友对自己的猜忌。　　退休法官（简-路易斯·特林提格南特 Jean-Louis Trintignant饰）年轻时经历过铭心刻骨的情伤，爱人的背叛让他不再相信这个世界。唯一的乐趣，就是窃听邻居的电话，看人与人之间是如何充满欺骗。认识瓦伦丁之后，他冰封多年的情感开始融化。　　法律系学生奥古斯特（简·皮埃尔·洛里 Jean-Pierre Lorit饰）前程锦绣，却不得不面对恋人感情的出轨。他决定前往英国一段时间，以摆脱痛苦的心情，在客轮上遇到了同往英国寻找男友的瓦伦丁。　　轮船遇到强对流天气，暴风雨过后电视新闻上播放着轮船遇险的消息。一百多人罹难的同时，瓦伦丁和奥古斯丁双双幸存，他们觉得对方似曾相识……	http://movie.douban.com/subject/1292047/	
跳出我天地 Billy Elliot	2000	剧情/喜剧/音乐/家庭	英国 / 法国	110	8.7	45326	　　比利（杰米•贝尔 Jamie Bell 饰）的家人是英国的一个底层矿工。他们参加罢工，挣扎在贫困的生活中，并认为比利应该学些男人的拳术。比利本来每周都去一回拳击班，偶然的机会却让他走上了不一样的路途。　　因为一个小意外，比利发现了潜意识中对芭蕾的热爱，而挑剔世故的芭蕾老师威尔金森（朱丽•沃特斯 Julie Walters 饰）无意中发现了比利极具芭蕾天赋。二人一拍即合，威尔金森甚至放弃她的一班女学生，把全部心思放在培养小比利上。可是比利的家庭全然不理解儿子为何爱上女生的玩意。比利在家庭的反对下，痛苦的抉择。　　然而大好机会就在当前。万一考上伦敦的皇家芭蕾学校，比利的芭蕾梦想将得到一个广阔舞台。比利站在一个十字路口，选择着他的人生。	http://movie.douban.com/subject/1301169/	
不一样的天空 What&#39;s Eating Gilbert Grape	1993	剧情/爱情/家庭	美国	118	8.6	56207	　　因为不能面对丈夫自杀的事实，吉伯特(约翰尼·德普 饰)的母亲不停进食，致使体重剧增至六百磅，难以行动。吉伯特的智障弟弟阿尼(莱昂纳多·迪卡普里奥 饰)一出生就被医生诊断活不过十岁，却即将过十八岁生日，最小的妹妹爱伦却正值叛逆的青春期。整个家庭的生计及阿尼的日常起居成了吉伯特的生活全部，姐姐是他唯一的帮手。　　四处旅游、活泼开朗的贝琪(朱丽叶特·刘易斯 饰)路过小镇，与吉伯特一见钟情，两人很快沉浸在甜蜜的爱情中。贝琪对生活的热情也让吉伯特渐渐认识到，除了家人，生命中他也该有属于自己的追求。阿尼就要过十八岁生日了，这是母亲最后的心愿，待这一切结束，吉伯特能有一个不一样的天空吧。	http://movie.douban.com/subject/1301617/	
奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	剧情/喜剧	美国 / 英国	95	8.7	27378	　　美国空军将领杰克•瑞（斯特林·海登 Sterling Hayden 饰）怀疑苏共的“腐朽思想”正在毒害“正直善良”的美国人民，他于是下令携带核弹头的飞行部队前往苏联，对敌人进行毁灭性的核打击。苏联方面得知此事，立即致电美国总统墨尔金•马夫雷（彼得·塞勒斯 Peter Sellers 饰），并威胁如若领土遭到攻击，苏联将不惜一切代价按下“世界末日装置”。该装置的威力足以摧毁地球上所有的生命。　　一场有关全人类乃至整个地球命运的战争就这样悄然且荒诞地拉开了序幕……　　影片根据彼得•乔治1958年的小说《红色警戒（Red Alert）》改编而成，与《2001漫游太空》、《发条橙》并称为“未来三部曲”。	http://movie.douban.com/subject/1322848/	
两小无猜 Melody	1971	剧情/爱情	英国	103	8.6	26711	　　这是一个纯真美好的初恋故事。丹尼尔（马克·莱斯特 Mark Lester 饰）是英国某小学的一名学童，家境殷实的他乖巧听话，同时也有叛逆的一面。他最好的朋友昂肖（杰克·瓦尔德 Jack Wild 饰），是一个叛逆乖张、专门捣蛋的小孩，丹尼尔和昂肖度过了许多个美好的放学时光。天真可爱的美乐蒂（特雷西·海德 Tracy Hyde 饰）跟丹尼尔同一所小学，原来并没有交集的二人，因为某一天在舞蹈室偶遇而相识，丹尼尔爱上了那个翩翩起舞的美乐蒂。　　在昂肖的帮助下，渐渐地，美乐蒂也喜欢上丹尼尔。二人不仅放学后约会，更有一次翘课去了海边玩耍。因此被老师家长知道他们的恋情，在大人们的多番教育下，他们却更加坚定要结婚。一天，丹尼尔的妈妈看到他留下的字条，校长发现班上的同学都不见了，原来同学们都去举行丹尼尔和美乐蒂的婚礼了……	http://movie.douban.com/subject/1304942/	
芙蓉镇	1986	剧情/爱情	中国大陆	164	8.8	21983	　　本片分上下两集，讲述了位于湘、粤、桂三省交界处的芙蓉镇上，人称“芙蓉姐”的漂亮女人胡玉音（刘晓庆）在“四清运动”及“文化大革命”中的遭遇。　　1963年，凭着热情周到的服务，胡玉音与丈夫桂桂（刘利年）经营的米豆腐摊子前渐渐成为早市上最热闹的一道风景，加上夫妻俩省吃俭用，手中积攒了一 笔数目可观的财富。镇党支书也是胡玉音干哥的黎满庚（张光北）、粮站主任谷燕山（郑在石）及乡邻们都为他们高兴。当他们盖好新房准备日子更上一层楼时，迎上“四清运动”，一直嫉妒胡玉音的原国营饮食店经理、今县商业局科长李国香（徐松子）与二流子王秋赦（祝士彬）联手，趁机将她定性为“反革命五类分子”中的“富农婆”，将之派去与原县文化馆馆长、今被人称作“秦癫子”的“右派”秦书田（姜文）一起清扫大街，桂桂身亡。运动中黎满庚昧着良心将胡玉音背叛，谷燕山则一直以老革命军人的标准诚实做人。　　196...	http://movie.douban.com/subject/1297880/	
沙漠之花 Desert Flower	2009	剧情	英国 / 德国 / 奥地利		8.7	30552	　　华莉丝（莉亚•科贝德 Liya Kebede 饰）出生在索马里的沙漠和母亲过着游牧民族的生活。在三岁时，华莉丝按照索马里习俗就被施以女性割礼。十二岁时父亲为了得到五头骆驼，要将华莉丝嫁给六十岁的老叟。就在出嫁前夜，华莉丝在母亲的默许下，在沙漠中徒步很久投奔摩加迪沙的外祖母,也在外祖母那里获得了去给当时索马里驻英国大使夫人的姨妈作女佣的机会。到英国后不久，索马里爆发战争，旧政府被推翻，华莉丝趁乱再次出逃大使馆而流浪英国街头。　　华莉丝在街头邂逅了收留自己的玛丽莲（莎莉•霍金斯 Sally Hawkins 饰），跟着又在打工的餐厅里遇到伯乐，最终被发掘成为世界名模，并投身于妇女解放事业。　　电影《沙漠之花》是根据出生于索马里的黑人模特华莉丝•迪里的自传畅销书改编。	http://movie.douban.com/subject/3430271/	
热天午后 Dog Day Afternoon	1975	剧情/喜剧/犯罪	美国	125	8.6	23184	　　根据真实故事改编，美国历史上最不完善的银行抢案。　　本该是10分钟完成的银行抢劫犯罪，却变成了12小时的拉锯战。桑尼（阿尔·帕西诺饰）算是美国历史上最倒霉的银行抢劫犯了。一个盛夏的下午，桑尼与同伴塞勒（约翰·卡扎雷饰）闯入纽约市布鲁克林银行，准备实施抢劫。怎奈银行刚刚完成交易，金库内根本没有现钱。倒霉的桑尼与塞勒转而劫持人质，与警方对峙提出要求。但4小时后，劫案现场被围观群众和手忙脚乱的警察弄得像游乐园一样热闹。桑尼走出银行对警察的质问居然赢得了群众的喝彩。8小时后，银行劫案登上了电视节目的实况转播，大家仿佛拍电影一样高兴。而这时夜色降临，人质亦出现了斯德哥尔摩症候群，究竟这场闹剧将以什么方式结束？	http://movie.douban.com/subject/1293374/	
野草莓 Smultronstället	1957	剧情	瑞典	91	8.6	15602	　　伊萨克（维克多·斯约斯特洛姆 Victor Sjöström饰）从医50年，现年已是将近八十岁的高龄，正准备在儿媳的陪伴下返回母校接受荣誉学位颁发。路上伊萨克顺道重游旧地，追忆往事。　　伊萨克曾经和堂妹萨拉（毕比·安德森 Bibi Andersson饰）有过美好的初恋，却因性格冷酷孤僻，以致他的兄弟乘虚而入。如今伊萨克坐在草坪上，忆起往昔，眼前浮现萨拉白衣飘飘的美丽模样。　　他与生俱来的冷漠理智的性格，注定了婚姻的失败。伊萨克的妻子无法忍受冰冷的婚姻，寻求外遇。这样的家庭气氛，加上遗传下来的冷漠秉性，使得伊萨克的儿子不愿生小孩，和儿媳关系决裂。　　伊萨克获得了光荣的学位荣誉，然而他仍然沉浸在对过往沉重的自省中，对于生命将尽的老人，这仿佛是一次心灵救赎之旅。	http://movie.douban.com/subject/1293071/	
城南旧事	1983	剧情	中国大陆	91	8.7	16854	　　本片根据林海音的同名短篇小说改编。　　小女孩林英子（沈洁 饰）住在五十年前的北京南城，在他们家院子附近住着一个疯女人秀珍（张闽 饰），秀珍的丈夫因参与学生运动被杀，孩子也不知所踪，因此落下了疯病，时常把英子当做自己的孩子“小桂子”看待，英子也喜欢秀珍，答应帮她找回小桂子。英子有个苦命的小伙伴妞儿，学戏时常遭干爹打骂，英子偶然发现妞儿有小桂子的胎记，帮助她们母女相认。英子上小学后，一家人搬到了厂甸。在家门口荒废的院落里，英子发现了一个小偷（张丰毅 饰）藏赃的草堆，小偷为了供弟弟读书只得干不光彩的勾当，英子却不把他看作是坏人。不久，女佣苏妈返乡，父亲去世，英子的童年，彷佛一下结束了……	http://movie.douban.com/subject/1300894/	
办公室的故事 Служебный Роман	1977	喜剧/爱情	苏联	159	8.7	9901	　　前苏联时期，莫斯科某统计局女局长洛德尼拉·伯洛哥菲耶夫娜·卡卢金娜（Alisa Freyndlikh 饰）业务能力极强，事业为上，而形成鲜明对比的则是她的私人生活，爱情之花迟迟没有绽放。对于这个表情肃穆古板的上司，职员们背地里叫他“冷血动物”。相貌老成的统计员安里多勒·耶里姆多维奇·诺瓦谢利采夫（Andrey Myagkov 饰）子青年时代便才华横溢，虽然独自辛勤抚养两个孩子，却为人乐观，颇受同事喜爱。对于“冷血动物”，诺瓦谢利采夫自命清高，不愿自贬身价求助卡卢金娜。而在卡卢金娜眼里，诺瓦谢利采夫唯唯诺诺，能力平庸，毫无闪光之处。适逢轻工业处处长职务从缺，诺瓦谢利采夫有心补位，却不得不面对这个难缠的“顶头天敌”。　　正所谓不是冤家不聚头，这样性格有着天壤之别的两人，奇妙的爱情竟在彼此心间萌生……	http://movie.douban.com/subject/1302205/	
死亡医生 You Don&#39;t Know Jack	2010	剧情/传记	美国	134	8.6	13971	　　头发花白的杰克·科沃基恩（阿尔·帕西诺 Al Pacino 饰）是美国密西根州一名备受争议的医生，在几十年的职业生涯中，他亲眼见过无数人为病痛所折磨，却求生不得，求死不能。杰克坚信医生的职责不仅是要尽最大努力医治病患，更要设身处地为病人着想，满足他们的需求，包括他们对死的渴望。因此，杰克尝试帮对生活失去希望的病人施行安乐死。但是他的做法遭到了普罗大众的一致反对，人们斥责他剥夺病患的生命，更送他“死亡医生”的绰号。在这一过程中，只有姐姐玛格（Brenda Vaccaro 饰）和少数几个朋友默默支持着杰克的工作。　　面对巨大的压力，杰克从未表现出退缩，他深知病患的痛苦，因此为了帮助他们解脱即时身陷囹圄也在所不惜……	http://movie.douban.com/subject/3074482/	
刺杀肯尼迪 JFK	1991	剧情/悬疑/惊悚/传记/历史	美国 / 法国	189	8.8	12636	　　肯尼迪的遇刺成为了一桩美国历史上的悬案，电影重新审视了那一段历史，到底杀手是一个普通人，还是整个庞大的政治阴谋，真相和幻象，都在调查中渐渐露出端倪。　　总统遇刺的两小时内，官方认定的凶手即被逮捕，他就是里·哈威·奥斯瓦多。然而巧合的是，在随后的一个小时，这个嫌疑犯却火速被 一名流氓杀死。经过调查，官方还是认定里·哈威·奥斯瓦多为真凶。但是，三年后的一个美国地方检察官吉姆·加里森（凯文·科斯特纳 Kevin Costner 饰），却发现肯尼迪中弹的蹊跷，从而推测当年官方的误判，接下来，他的侦查牵连着一个历史上的惊天阴谋。	http://movie.douban.com/subject/1292230/	
爱犬的奇迹 マリと子犬の物語	2007		日本	124	8.8	8889	　　故事发生在宁静的小山村里，在青山绿水的映衬下，石川优（船越英一郎 饰）带着一双儿女亮太（广田亮平 饰）和彩（佐佐木麻绪 饰），以及父亲优造（宇津井健 饰）过着平静而安详的生活。一日，亮太和彩在路边捡到了一只年幼的狗仔，在爷爷的帮助下，他们说服了有些顽固的父亲，收养了狗仔取名玛丽，就这样，玛丽在石川家的新生活开始了。　　时间流水一样的过去了，玛丽已经成年并且有了三个孩子，当人们以为快乐幸福的生活将一直伴随着他们的时候，一场6.8级大地震的袭来粉碎了这一梦想，优造和彩被压在了沉重的房梁之下，而此时唯一能够帮得上忙的只有玛丽。在玛丽的帮助下，救援队很快便发现了爷孙二人，可是用来救援的直升机无法负担更多的重量，玛丽和孩子们被留在了灾区。	http://movie.douban.com/subject/2357302/	
